country_code,HS_ind_VA_share,HS_comp_share_HS,HS_comp_share_LS,P_chain_relative,gdp_pc,Relative_Wage,HS_ind_Comp_share,Year
AUS,.21569212,.18047729,.075717308,.82607001,25985.393,1.4472009,.23074251,1982
AUS,.21010298,.18729739,.080866225,.81037468,26802.934,1.4350718,.23813561,1983
AUS,.20891547,.19354345,.083314709,.80755413,27792.102,1.392572,.24302089,1984
AUS,.20469685,.19943096,.086850487,.7700969,28484.338,1.3797315,.24466679,1985
AUS,.21426381,.20535783,.090274535,.78612918,28754.498,1.3803539,.25823653,1986
AUS,.22082035,.22959502,.10149202,.78543621,29922.109,1.3960015,.2730656,1987
AUS,.22825289,.25088215,.11163131,.82780892,30579.738,1.4223849,.29059836,1988
AUS,.23293304,.26980206,.12138298,.81783193,31164.148,1.4146193,.30325791,1989
AUS,.24550426,.3210142,.12857294,.85170197,30581.973,1.4152335,.3132163,1990
AUS,.24701267,.35192311,.13406999,.86325008,30299.746,1.4103614,.31713086,1991
AUS,.25291771,.37331375,.13463038,.86665285,31143.912,1.421104,.32092348,1992
AUS,.25638109,.3884187,.13414723,.88837606,32038.176,1.4290863,.32303101,1993
AUS,.24978431,.40049389,.13408735,.88369346,32921.98,1.4483659,.32946393,1994
AUS,.2513715,.41045904,.13017274,.90015453,33857.941,1.4311615,.33359596,1995
AUS,.25365943,.42326489,.13715462,.91674519,34821.234,1.4676777,.33474162,1996
AUS,.25752816,.43288264,.14409152,.93172759,35981.813,1.5133438,.34530511,1997
AUS,.26265642,.44267052,.15009186,.93238187,37386.207,1.5451291,.35578158,1998
AUS,.26897386,.45254534,.15621106,.95618808,38427.617,1.593019,.3572422,1999
AUS,.28156888,.4615995,.16391028,.97777236,38758.125,1.6003639,.36642122,2000
AUS,.27933851,.47081882,.17377801,.96811455,39835.438,1.6333251,.36429799,2001
AUS,.28040251,.48251331,.18691163,.98638177,40629.23,1.6137503,.36323884,2002
AUS,.28222623,.48809132,.19629453,1,41844.406,1.6332072,.3681339,2003
AUS,.28231856,.48139226,.19461222,1.0030032,42649.574,1.6936435,.37004083,2004
AUS,.28446183,.47605079,.19600785,.99657488,43299.371,1.7243086,.37595105,2005
